id,date_start,period_type,title,is_infl_rate,cmt,parent_id,previous_id,base_type_code
152472566,2023-10-31 00:00:00,1,Дополнение 70,0,,152312148.0,152312148.0,TSN
152381044,2023-10-24 00:00:00,1,Мониторинг Октябрь 2023 (205 сборник/дополнение 70),0,,152312148.0,152238237.0,TSN
152351830,2023-10-16 00:00:00,1,205 индекс/дополнение 70 (мониторинг Октябрь 2023) без МКЭ,1,,152312148.0,151991579.0,TSN
152351620,2023-12-17 00:00:00,1,Глава 30/дополнение 71,0,,151669819.0,151669819.0,TSN
152322403,2023-10-02 00:00:00,1,51 индекс/оборудование доп. 37 (мониторинг Октябрь 2023),1,,151970399.0,151970399.0,TSN
152312148,2023-08-29 00:00:00,1,Дополнение 70 без МКЭ,0,,151959137.0,151959137.0,TSN
152238237,2023-09-20 00:00:00,1,Мониторинг Сентябрь 2023 (204 сборник/дополнение 69),0,,151992054.0,151992054.0,TSN
151992054,2023-08-21 00:00:00,1,Мониторинг Август 2023 (203 сборник/дополнение 69),0,,151791793.0,151791793.0,TSN
151991579,2023-09-18 00:00:00,1,204 индекс/дополнение 69 (мониторинг Сентябрь 2023),1,,151902634.0,151902634.0,TSN
151970399,2023-09-14 00:00:00,1,50 индекс/оборудование доп. 37 (мониторинг Сентябрь 2023),1,,151968505.0,151868707.0,TSN
151968505,2023-08-28 00:00:00,1,Оборудование (Глава 13-2)/дополнение 37,0,,151506070.0,151506070.0,TSN
151902634,2023-08-11 00:00:00,1,203 индекс/дополнение 69 (мониторинг Август 2023),1,,151763529.0,151763529.0,TSN
151868707,2023-08-11 00:00:00,1,49 индекс/оборудование доп. 36 (мониторинг Август 2023),1,,151757705.0,151757705.0,TSN
151791793,2023-07-21 00:00:00,1,Мониторинг Июль 2023 (202 сборник/дополнение 69),0,,151427079.0,151603636.0,TSN
151763529,2023-07-18 00:00:00,1,202 индекс/дополнение 69 (мониторинг Июль 2023),1,,151427079.0,151569296.0,TSN
151757705,2023-07-13 00:00:00,1,48 индекс/оборудование доп. 36 (мониторинг Июль 2023),1,,151556932.0,151556932.0,TSN
151669819,2023-06-19 00:00:00,1,Глава 30/дополнение 69,0,,149105112.0,149105112.0,TSN
151603636,2023-06-20 00:00:00,1,Мониторинг Июнь 2023 (201 сборник/дополнение 68),0,,151282442.0,151282442.0,TSN
151569296,2023-06-15 00:00:00,1,201 индекс/дополнение 68 (мониторинг Июнь 2023),1,,151248691.0,151248691.0,TSN
151556932,2023-06-15 00:00:00,1,47 индекс/оборудование доп. 36 (мониторинг Июнь 2023),1,,151506070.0,151276985.0,TSN
151506070,2023-05-29 00:00:00,1,Оборудование (Глава 13-2)/дополнение 36,0,,150727409.0,150727409.0,TSN
151427079,2023-05-22 00:00:00,1,Дополнение 69,0,"Период в котором созданы прочие ресурсы на основании прочих значений
Создан на основе Дополнения 69. Выполнен перерасчет. Использовать этот период для создания дальнейших индексов и дополнений.",151030624.0,150719989.0,TSN
151282442,2023-05-17 00:00:00,1,Мониторинг Май 2023 (200 сборник/дополнение 68),0,,151030637.0,151030637.0,TSN
151276985,2023-05-15 00:00:00,1,46 индекс/оборудование доп. 35 (мониторинг Май 2023),1,,150991411.0,150991411.0,TSN
151248691,2023-05-16 00:00:00,1,200 индекс/дополнение 68 (мониторинг Май 2023),1,,150996873.0,150996873.0,TSN
151030637,2023-04-21 00:00:00,1,Мониторинг Апрель 2023 (199 сборник/дополнение 68),0,,150719989.0,150890725.0,TSN
151030624,2023-04-19 00:00:00,1,Дополнение 69 (копия доп 68),0,,150719989.0,150719989.0,TSN
150996873,2023-04-14 00:00:00,1,199 индекс/дополнение 68 (мониторинг Апрель 2023),1,,150719989.0,150862302.0,TSN
150991411,2023-04-11 00:00:00,1,45 индекс/оборудование доп. 35 (мониторинг Апрель 2023),1,,150828304.0,150828304.0,TSN
150890725,2023-03-21 00:00:00,1,Мониторинг Март 2023 (198 сборник/дополнение 67),0,,150728300.0,150728300.0,TSN
150862302,2023-03-17 00:00:00,1,198 индекс/дополнение 67 (мониторинг Март 2023),1,,150728303.0,150728303.0,TSN
150834036,2023-03-13 00:00:00,1,архив-Дополнение 68 промежуточный,0,,150719989.0,150719989.0,TSN
150828304,2023-03-14 00:00:00,1,44 индекс/оборудование доп. 35 (мониторинг Март 2023),1,,150727409.0,150721955.0,TSN
150728303,2023-02-17 00:00:00,1,197 индекс/дополнение 67 (мониторинг Февраль 2023),1,,150466640.0,150466640.0,TSN
150728300,2023-02-17 00:00:00,1,Мониторинг Февраль 2023 (197 сборник/дополнение 67),0,,150534251.0,150534251.0,TSN
150727409,2023-02-15 00:00:00,1,Оборудование (Глава 13-2)/дополнение 35,0,,147874181.0,147874181.0,TSN
150721955,2023-02-14 00:00:00,1,43 индекс/оборудование доп. 34 (мониторинг Февраль 2023),1,,150466639.0,150466639.0,TSN
150719989,2023-02-13 00:00:00,1,Дополнение 68,0,,149000015.0,149000015.0,TSN
150534251,2023-01-23 00:00:00,1,Мониторинг Январь 2023 (196 сборник/дополнение 67),0,,149000015.0,147880359.0,TSN
150466640,2023-01-19 00:00:00,1,196 индекс/дополнение 67 (мониторинг Январь 2023),1,,149000015.0,147974341.0,TSN
150466639,2023-01-19 00:00:00,1,42 индекс/оборудование доп. 34 (мониторинг Январь 2023),1,,147953590.0,147953590.0,TSN
149105112,2022-12-21 00:00:00,1,Глава 30/дополнение 67,0,,147464167.0,147464167.0,TSN
149000015,2022-12-20 00:00:00,1,Дополнение 67,0,,147874177.0,147874177.0,TSN
147974341,2022-12-15 00:00:00,1,195 индекс/дополнение 66 (мониторинг Декабрь 2022),1,,147839594.0,147839594.0,TSN
147953590,2022-12-14 00:00:00,1,41 индекс/оборудование доп. 34 (мониторинг Декабрь 2022),1,,147874181.0,147839595.0,TSN
147880359,2022-12-01 00:00:00,1,Мониторинг Декабрь 2022 (195 сборник/дополнение 66),0,,147629788.0,147629788.0,TSN
147874181,2022-11-21 00:00:00,1,Оборудование (Глава 13-2)/дополнение 34,0,,147302953.0,147302953.0,TSN
147874177,2022-11-21 00:00:00,1,Дополнение 67 старая 4я глава,0,,147839594.0,147305823.0,TSN
147839595,2022-11-17 00:00:00,1,40 индекс/оборудование доп. 33 (мониторинг Ноябрь 2022),1,,147539179.0,147539179.0,TSN
147839594,2022-11-17 00:00:00,1,194 индекс/дополнение 66 (мониторинг Ноябрь 2022),1,,147544626.0,147544626.0,TSN
147629788,2022-11-14 00:00:00,1,Мониторинг Ноябрь 2022 (194 сборник/дополнение 66),0,,147464512.0,147464512.0,TSN
147544626,2022-10-19 00:00:00,1,193 индекс/дополнение 66 (мониторинг Октябрь 2022),1,,147305823.0,147324651.0,TSN
147539179,2022-10-19 00:00:00,1,39 индекс/оборудование доп. 33 (мониторинг Октябрь 2022),1,,147319208.0,147319208.0,TSN
147464512,2022-10-14 00:00:00,1,Мониторинг Октябрь 2022 (193 сборник/дополнение 66),0,,147305823.0,147356847.0,TSN
147356847,2022-09-19 00:00:00,1,Мониторинг Сентябрь 2022 (192 сборник/дополнение 65),0,,147218551.0,147218551.0,TSN
